Country,Lat,Lon,Elevation,year,season,gen,rep,check,pl_emerg_c,pl_emerg_p,flw_days,ndm,lod,podding_ma,pod_shatte,ph_r8,w100g,gy,r6_bb_sev,r6_bp_sev,r6_bs_sev,r6_bts_sev,r6_clb_sev,r6_dm_sev,r6_mls_sev,r6_fels_se,r6_rlb_sev,r6_rust_se,r6_rust_rr,r6_others,prot,oil,lat,lon,env,loc,flw_cl,pub_cl,sowing,harvest,rainfed,source,company,n_reps_averaged,source_file,dbase,majstage,maj_var,maj_sbr,majsc_sbr,class,sand,ph,silt,clay,cec,soilbulk,orgcarb,nitrogen,avi_jun_jul,evi_jun_jul,gci_jun_jul,gndvi_jun_jul,ndmi_jun_jul,tmax_jun_jul,tmin_jun_jul,wind_jun_jul,prec_jun_jul,smoist_jun_jul,pdsi_jun_jul,vpd_jun_jul,maxdew_jun_jul,mindew_jun_jul,eti_jun_jul,dsr09jun_jul,dsr12jun_jul,dsr15jun_jul,avi_nov_dec,evi_nov_dec,gci_nov_dec,gndvi_nov_dec,ndmi_nov_dec,tmax_nov_dec,tmin_nov_dec,wind_nov_dec,prec_nov_dec,smoist_nov_dec,pdsi_nov_dec,vpd_nov_dec,maxdew_nov_dec,mindew_nov_dec,eti_nov_dec,dsr09nov_dec,dsr12nov_dec,dsr15nov_dec,avi_dec_jan,evi_dec_jan,gci_dec_jan,gndvi_dec_jan,ndmi_dec_jan,tmax_dec_jan,tmin_dec_jan,wind_dec_jan,prec_dec_jan,smoist_dec_jan,pdsi_dec_jan,vpd_dec_jan,maxdew_dec_jan,mindew_dec_jan,eti_dec_jan,dsr09dec_jan,dsr12dec_jan,dsr15dec_jan
Malawi,-16.155,34.83,80,2024,1,G002,2,0,166,55.333333333333336,38.666666666666664,106,1,0,1,33.88666666666666,19.666666666666668,3205.5633333333335,1,1,1,1,2.3333333333333335,1,1,1,1,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Mixed,7/24/2024,12/11/2024,Irrigation,CSIRO Agriculture and Food,Public,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G006,2,0,179,59.666666666666664,38,121,1,0,1,45.776666666666664,29.333333333333332,4289.0233333333335,1,1,1,1,2.6666666666666665,1.3333333333333333,1,1,1.3333333333333333,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/11/2024,Irrigation,Agricultural Research Council ARC,Public,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G018,2,0,156.66666666666666,52.22,38.666666666666664,106,1.6666666666666667,0,1,38.333333333333336,25.333333333333332,5197.526666666667,1,1,1,1,1.6666666666666667,1,1,1,1.3333333333333333,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/11/2024,Irrigation,Ethiopian Institute of Agricultural Research EIAR,Public,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G056,2,0,180.33333333333337,60.11333333333334,39.333333333333336,121,1.6666666666666667,0,1,48.78,29.666666666666668,7933.403333333333,1,1,1,1,2.6666666666666665,1.6666666666666667,1,1,1.6666666666666667,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/10/2024,Irrigation,ZamSeed,Private,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G063,2,0,160.33333333333334,53.443333333333335,42,116,4,0,1,101.89,21.666666666666668,3380.4666666666667,1,1,1,1,2,1,1,1,1,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/9/2024,Irrigation,Makerere University,Public,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G068,2,0,74.33333333333333,24.776666666666667,38,103,1,0,1,29,20.666666666666668,2302.7833333333333,1,1,1,1,2,1.3333333333333333,1,1,1,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,White,Tawny,7/24/2024,12/9/2024,Irrigation,Crop Breeding Institute CBI,Public,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G121,2,0,161.33333333333334,53.776666666666664,38.666666666666664,121,4,0,1,97.22333333333331,22.333333333333332,4035.33,1,1,1,1,2,1,1,1,1,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/10/2024,Irrigation,CSIRO Agriculture and Food,Public,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G132,2,0,139.33333333333334,46.443333333333335,38,121,2,0,1,100.78,23.666666666666668,4524.196666666667,1,1,1,1,2,1.6666666666666667,1,1,1,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/11/2024,Irrigation,SeedCo,Private,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G142,2,0,147.33333333333334,49.11,38,117,2.3333333333333335,0,1,53.11,26.333333333333332,5148.69,1,1,1,1,2,1.3333333333333333,1,1,1.3333333333333333,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/4/2024,Irrigation,SeedCo,Private,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,-16.155,34.83,80,2024,1,G148,2,0,177.66666666666666,59.223333333333336,37.333333333333336,117,1,0,1,35.553333333333335,19.666666666666668,3901.5633333333335,1,1,1,1,3,1.3333333333333333,1,1,1.3333333333333333,1,0,1,NA,NA,-16.146,34.874,E0289,L0124,Purple,Tawny,7/24/2024,12/10/2024,Irrigation,SeedCo,Private,3,New,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
