country,lat,lon,year,gen,r6_rust_se,season,lod,r6_bb_sev,r6_bp_sev,r6_bs_sev,r6_bts_sev,r6_clb_sev,r6_dm_sev,r6_mls_sev,r6_fels_se,r6_rlb_sev,r6_rust_rr,r6_others,env,loc,flw_cl,pub_cl,sowing,harvest,rainfed,source,company,check,pl_emerg_c,pl_emerg_p,flw_days,ndm,podding_ma,pod_shatte,ph_r8,w100g,gy,prot,oil,elev
Kenya,-1.517,36.85,2015,G008,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,0,0,0,0,0,NA,NA,NA,1600
Kenya,-1.517,36.85,2015,G009,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,124,0,0,62,0,966.6666667,NA,NA,1600
Kenya,-1.517,36.85,2015,G010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,146,0,0,88,0,1600,NA,NA,1600
Kenya,-1.517,36.85,2015,G011,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,137,0,0,61,0,2266.666667,NA,NA,1600
Kenya,-1.517,36.85,2015,G012,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,133,0,0,71,0,2200,NA,NA,1600
Kenya,-1.517,36.85,2015,G013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,146,0,0,71,0,NA,NA,NA,1600
Kenya,-1.517,36.85,2015,G014,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,137,0,0,89,0,2166.666667,NA,NA,1600
Kenya,-1.517,36.85,2015,G015,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,134,0,0,92,0,2500,NA,NA,1600
Kenya,-1.517,36.85,2015,G018,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Ethiopian Institute of Agricultural Research EIAR,Public,0,0,0,0,133,0,0,39,0,600,NA,NA,1600
Kenya,-1.517,36.85,2015,G019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public,0,0,0,0,129,0,0,75,0,2533.333333,NA,NA,1600
Kenya,-1.517,36.85,2015,G070,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,MRISyngenta Synergy Agribusiness Zambia Limited,Private,0,0,0,0,146,0,0,78,0,3400,NA,NA,1600
Kenya,-1.517,36.85,2015,G136,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,Ethiopian Institute of Agricultural Research EIAR,Public,0,0,0,0,123,0,0,67,0,2700,NA,NA,1600
Kenya,-1.517,36.85,2015,G138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,SeedCo,Private,1,0,0,0,124,0,0,65,0,1766.666667,NA,NA,1600
Kenya,-1.517,36.85,2015,G164,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,International Institute of Tropical Agriculture IITA,Public,0,0,0,0,125,0,0,74,0,1233.333333,NA,NA,1600
Kenya,-1.517,36.85,2015,G165,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,International Institute of Tropical Agriculture IITA,Public,0,0,0,0,126,0,0,69,0,2533.333333,NA,NA,1600
Kenya,-1.517,36.85,2015,G166,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,International Institute of Tropical Agriculture IITA,Public,0,0,0,0,137,0,0,85,0,2500,NA,NA,1600
Kenya,-1.517,36.85,2015,G168,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,International Institute of Tropical Agriculture IITA,Public,0,0,0,0,129,0,0,79,0,1833.333333,NA,NA,1600
Kenya,-1.517,36.85,2015,G177,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,International Institute of Tropical Agriculture IITA,Public,0,0,0,0,123,0,0,71,0,3066.666667,NA,NA,1600
Kenya,-1.517,36.85,2015,G178,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E002,L002,NA,NA,11/29/2015,4/21/2016,Rainfed,International Institute of Tropical Agriculture IITA,Public,0,0,0,0,138,0,0,80,0,1433.333333,NA,NA,1600
